
2024/10/09 (02:59:26) | ===> btop++ v.1.3.2
2024/10/09 (02:59:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (02:59:26) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/11/01 (17:24:06) | ===> btop++ v.1.4.0
2024/11/01 (17:24:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (17:50:21) | ===> btop++ v.1.4.0
2024/11/01 (17:50:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (17:55:09) | ===> btop++ v.1.4.0
2024/11/01 (17:55:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (01:03:29) | ===> btop++ v.1.4.0
2024/11/02 (01:03:29) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/02 (01:24:35) | ERROR: Stall in Runner thread, restarting!

2024/11/14 (03:29:04) | ===> btop++ v.1.4.0
2024/11/14 (03:29:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (22:28:57) | ===> btop++ v.1.4.0
2024/11/19 (22:28:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (21:45:38) | ===> btop++ v.1.4.0
2024/11/27 (21:45:38) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/27 (21:46:21) | ERROR: Stall in Runner thread, restarting!

2024/11/27 (23:24:54) | ===> btop++ v.1.4.0
2024/11/27 (23:24:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (23:25:26) | ===> btop++ v.1.4.0
2024/11/27 (23:25:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (18:20:41) | ===> btop++ v.1.4.0
2024/11/29 (18:20:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (18:22:24) | ===> btop++ v.1.4.0
2024/11/29 (18:22:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (21:02:36) | ===> btop++ v.1.4.0
2024/12/03 (21:02:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (00:43:18) | ===> btop++ v.1.4.0
2024/12/11 (00:43:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (22:57:59) | ===> btop++ v.1.4.0
2024/12/18 (22:57:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (00:35:42) | ===> btop++ v.1.4.0
2024/12/21 (00:35:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (16:21:00) | ===> btop++ v.1.4.0
2025/03/01 (16:21:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (16:35:44) | ===> btop++ v.1.4.0
2025/03/01 (16:35:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (21:26:39) | ===> btop++ v.1.4.0
2025/04/22 (21:26:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (21:17:20) | ===> btop++ v.1.4.0
2025/04/24 (21:17:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (14:24:11) | ===> btop++ v.1.4.0
2025/04/27 (14:24:11) | WARNING: Intel GPU: Failed to initialize PMU
